TIME, DEVICE, OPERATION
000000,0,0
000000,1,0
000000,2,0
000000,3,0
000000,4,0
000000,7,0
000568,0,1
000679,0,0
001054,0,1
001191,0,0
001572,0,1
001695,0,0
002087,0,1
002652,0,0
003160,0,1
003460,1,1
003545,1,0
003668,0,0
003763,1,1
004176,0,1
004338,1,0
004684,0,0
005192,0,1
005390,1,1
005513,1,0
005700,0,0
005721,1,1
005851,1,0
006208,0,1
006340,1,1
006716,0,0
007002,1,0
007224,0,1
007433,1,1
007518,1,0
007732,0,0
007736,1,1
008240,0,1
008311,1,0
008748,0,0
009256,0,1
009499,1,1
009594,1,0
009705,1,1
009764,0,0
009914,1,0
010269,1,1
010272,0,1
010527,1,0
010780,0,0
010824,1,1
011288,0,1
011387,1,0
011550,1,1
011635,1,0
011796,0,0
011853,1,1
012304,0,1
012428,1,0
012812,0,0
013320,0,1
013480,1,1
013603,1,0
013811,1,1
013828,0,0
013941,1,0
014336,0,1
014430,1,1
014844,0,0
015092,1,0
015352,0,1
015523,1,1
015608,1,0
015826,1,1
015860,0,0
016368,0,1
016401,1,0
016876,0,0
017384,0,1
017589,1,1
017684,1,0
017795,1,1
017892,0,0
018004,1,0
018359,1,1
018400,0,1
018617,1,0
018908,0,0
018914,1,1
019416,0,1
019477,1,0
019624,1,1
019803,1,0
019915,1,1
019924,0,0
020432,0,1
020645,1,0
020703,1,1
020790,1,0
020940,0,0
020940,1,1
021199,1,0
021332,1,1
021421,1,0
021448,0,1
021545,1,1
021635,1,0
021951,1,1
021956,0,0
022369,1,0
022441,1,1
022464,0,1
022786,1,0
022906,1,1
022972,0,0
023480,0,1
023988,0,0
024324,1,0
024496,0,1
024630,1,1
025004,0,0
025512,0,1
026020,0,0
026528,0,1
026767,1,0
027036,0,0
027544,0,1
028052,0,0
028560,0,1
029068,0,0
029576,0,1
030084,0,0
030592,0,1
031100,0,0
031608,0,1
032116,0,0
032624,0,1
033132,0,0
033640,0,1
034148,0,0
034656,0,1
035164,0,0
035672,0,1
035784,2,1
036180,0,0
036688,0,1
037196,0,0
037704,0,1
038212,0,0
038334,2,0
038720,0,1
039228,0,0
039736,0,1
039880,2,1
040244,0,0
040752,0,1
041260,0,0
041768,0,1
042276,0,0
042784,0,1
042940,2,0
043292,0,0
043800,0,1
044028,2,1
044308,0,0
044816,0,1
045324,0,0
045832,0,1
046340,0,0
046848,0,1
047356,0,0
047598,2,0
047864,0,1
048006,2,1
048372,0,0
048880,0,1
049388,0,0
049896,0,1
050404,0,0
050912,0,1
051420,0,0
051474,2,0
051928,0,1
052171,2,1
052436,0,0
052944,0,1
053452,0,0
053960,0,1
054468,0,0
054976,0,1
055484,0,0
055758,2,0
055992,0,1
056234,2,1
056500,0,0
057008,0,1
057516,0,0
058024,0,1
058532,0,0
059040,0,1
059548,0,0
059549,2,0
060056,0,1
060246,2,1
060564,0,0
061072,0,1
061580,0,0
062088,0,1
062596,0,0
063104,0,1
063358,0,0
063612,0,1
063866,0,0
064120,0,1
064374,0,0
064628,0,1
064882,0,0
065326,2,0
065898,0,1
066161,2,1
066406,0,0
067422,0,1
067930,0,0
068438,0,1
068700,1,1
068785,1,0
068946,0,0
069003,1,1
069454,0,1
069578,1,0
069877,2,0
069962,0,0
070470,0,1
070630,1,1
070753,1,0
070961,1,1
070978,0,0
071091,1,0
071486,0,1
071580,1,1
071994,0,0
072242,1,0
072502,0,1
072673,1,1
072758,1,0
072976,1,1
073010,0,0
073518,0,1
073551,1,0
074026,0,0
074525,2,1
074534,0,1
074739,1,1
074834,1,0
074945,1,1
075042,0,0
075154,1,0
075509,1,1
075550,0,1
075767,1,0
076058,0,0
076064,1,1
076566,0,1
076627,1,0
076790,1,1
076875,1,0
077074,0,0
077093,1,1
077582,0,1
